Spanish,English
Hola,Hello
¿Cómo estás?,How are you?
Me llamo ...,My name is ...
¿Cómo te llamas?,What’s your name?
Mucho gusto,Nice to meet you
¿De dónde eres?,Where are you from?
Soy de ...,I’m from ...
¿Hablas inglés?,Do you speak English?
No hablo mucho español,I don’t speak much Spanish
"¿Puedes hablar más despacio, por favor?","Can you speak more slowly, please?"
No entiendo,I don’t understand
¿Cuántos años tienes?,How old are you?
¿Dónde vives?,Where do you live?
Vivo en ...,I live in ...
¿Dónde está el baño?,Where is the bathroom?
¿Cuánto cuesta?,How much does it cost?
"La cuenta, por favor","The check, please"
¿Puedes ayudarme?,Can you help me?
Estoy perdido / perdida,I’m lost
Necesito un taxi,I need a taxi
Estoy buscando este lugar,I’m looking for this place
Necesito ayuda,I need help
Tengo hambre,I’m hungry
Tengo sed,I’m thirsty
Estoy cansado / cansada,I’m tired
Estoy enfermo / enferma,I’m sick
¿Dónde puedo comprar agua?,Where can I buy water?
¿Dónde hay una farmacia?,Where is a pharmacy?
¿Hay Wi-Fi aquí?,Is there Wi-Fi here?
¿Dónde está la estación de tren?,Where is the train station?
¿Cuándo sale el autobús?,When does the bus leave?
¿Este tren va a Madrid?,Does this train go to Madrid?
Necesito un billete a Barcelona,I need a ticket to Barcelona
¿Cuánto cuesta un billete?,How much is a ticket?
¿Dónde está la parada de autobús?,Where is the bus stop?
¿Cuánto cuesta el billete?,How much is the ticket?
¿Cuánto tiempo tarda?,How long does it take?
¿Dónde está el aeropuerto?,Where is the airport?
Quiero alquilar un coche,I want to rent a car
¿Dónde puedo conseguir un mapa?,Where can I get a map?
¿Está lejos?,Is it far?
¿Puedo caminar hasta allí?,Can I walk there?
¿Cuánto cuesta el taxi?,How much is the taxi?
"Lléveme a este lugar, por favor","Take me to this place, please"
Quiero una mesa para dos,I want a table for two
¿Tienen menú en inglés?,Do you have a menu in English?
¿Qué me recomienda?,What do you recommend?
Soy alérgico a...,I’m allergic to...
¿Esto es picante?,Is this spicy?
Está delicioso,It’s delicious
"La cuenta, por favor","The bill, please"
¿Puedo pagar con tarjeta?,Can I pay by card?
"Una cerveza, por favor","A beer, please"
Un café con leche,A coffee with milk
"Agua sin gas, por favor","Still water, please"
Una copa de vino tinto,A glass of red wine
"Sin hielo, por favor","No ice, please"
Quisiera esto,I’d like this
¿Cuánto tiempo para servir?,How long will it take?
¿Cuánto cuesta esto?,How much does this cost?
¿Tienen otra talla?,Do you have another size?
Estoy solo mirando,I’m just looking
¿Aceptan tarjeta de crédito?,Do you accept credit card?
¿Puedo probarlo?,Can I try it on?
¿Dónde están los probadores?,Where are the fitting rooms?
Está demasiado caro,It’s too expensive
¿Puede hacerme un descuento?,Can you give me a discount?
Me lo llevo,I’ll take it
¿Tiene esto en otro color?,Do you have this in another color?
Solo efectivo,Cash only
¿Tiene recibo?,Do you have a receipt?
Estoy buscando un regalo,I’m looking for a gift
¿Qué recomienda?,What do you recommend?
¿Está en oferta?,Is it on sale?
¡Ayuda!,Help!
Llame a una ambulancia,Call an ambulance
Llame a la policía,Call the police
He perdido mi pasaporte,I’ve lost my passport
Me han robado,I’ve been robbed
Necesito un médico,I need a doctor
Estoy herido / herida,I’m injured
¿Dónde está el hospital?,Where is the hospital?
Es una emergencia,It’s an emergency
"Estoy bien, gracias","I’m okay, thank you"
¿Dónde está la embajada?,Where is the embassy?
Me siento mal,I feel sick
Tengo fiebre,I have a fever
Estoy mareado / mareada,I’m dizzy
Tengo dolor de cabeza,I have a headache
¿Quieres salir conmigo?,Do you want to go out with me?
Me gustas,I like you
Eres muy simpático/a,You are very nice
¿Tienes pareja?,Do you have a partner?
Estoy soltero / soltera,I’m single
¿Quieres bailar?,Do you want to dance?
Fue un placer conocerte,It was nice meeting you
¿Puedo darte mi número?,Can I give you my number?
¿Puedo tener tu número?,Can I have your number?
Te extraño,I miss you
Te quiero,I love you
Vamos a tomar algo,Let’s go get a drink
¿Dónde nos vemos?,Where shall we meet?
Llámame,Call me
Escríbeme,Text me
¿Dónde está el hotel?,Where is the hotel?
¿Cómo llego a la playa?,How do I get to the beach?
Gire a la derecha,Turn right
Gire a la izquierda,Turn left
Siga recto,Go straight
¿Está cerca?,Is it nearby?
¿Está lejos de aquí?,Is it far from here?
¿Dónde está la parada de taxi?,Where is the taxi stand?
Estoy buscando esta dirección,I’m looking for this address
¿Puedes mostrarlo en el mapa?,Can you show it on the map?
Cruce la calle,Cross the street
Suba las escaleras,Go up the stairs
Baje las escaleras,Go down the stairs
Está al lado de...,It’s next to...
En la esquina,On the corner
Tengo una reserva,I have a reservation
¿Tiene habitaciones disponibles?,Do you have rooms available?
¿Cuánto cuesta por noche?,How much is it per night?
¿Está incluido el desayuno?,Is breakfast included?
¿A qué hora es el check-in?,What time is check-in?
¿Puedo hacer check-out tarde?,Can I check out late?
"La llave, por favor","The key, please"
¿Dónde está el ascensor?,Where is the elevator?
Hay un problema con la habitación,There is a problem with the room
No hay agua caliente,There is no hot water
La habitación está sucia,The room is dirty
¿Tiene toallas extras?,Do you have extra towels?
¿Dónde está el gimnasio?,Where is the gym?
¿Dónde está la piscina?,Where is the pool?
¿Hay wifi gratis?,Is there free Wi-Fi?
Hace calor,It’s hot
Hace frío,It’s cold
Está lloviendo,It’s raining
Hace buen tiempo,It’s nice weather
Está nublado,It’s cloudy
