English,Turkish
Hello,Merhaba
How are you?,Nasılsın?
My name is ...,Benim adım ...
What’s your name?,Adınız ne?
Nice to meet you,Tanıştığıma memnun oldum
Where are you from?,Nerelisin
I’m from ...,Ben ...'denim.
Do you speak English?,İngilizce biliyor musunuz?
I don’t speak much Spanish,Çok fazla İspanyolca konuşamıyorum
"Can you speak more slowly, please?",Daha yavaş konuşabilir misiniz lütfen?
I don’t understand,Anlamıyorum
How old are you?,Kaç yaşındasın?
Where do you live?,Nerede yaşıyorsun
I live in ...,...'da yaşıyorum.
Where is the bathroom?,Banyo nerede?
How much does it cost?,Fiyatı ne kadar?
"The check, please",Hesabı alabilir miyim
Can you help me?,Bana yardım eder misiniz?
I’m lost,Kayboldum
I need a taxi,Bir taksiye ihtiyacım var
I’m looking for this place,burayı arıyorum
I need help,Yardıma ihtiyacım var
I’m hungry,Açım
I’m thirsty,Susadım
I’m tired,Yorgunum
I’m sick,Hastayım
Where can I buy water?,Suyu nereden satın alabilirim?
Where is a pharmacy?,Eczane nerede?
Is there Wi-Fi here?,Burada Wi-Fi var mı?
Where is the train station?,Tren istasyonu nerede?
When does the bus leave?,Otobüs ne zaman hareket ediyor?
Does this train go to Madrid?,Bu tren Madrid'e gidiyor mu?
I need a ticket to Barcelona,Barselona'ya bir bilete ihtiyacım var
How much is a ticket?,Bilet ne kadar?
Where is the bus stop?,Otobüs durağı nerede?
How much is the ticket?,Bilet ne kadar?
How long does it take?,Ne kadar sürer?
Where is the airport?,Havaalanı nerede?
I want to rent a car,Araba kiralamak istiyorum
Where can I get a map?,Haritayı nereden alabilirim?
Is it far?,Uzak mı?
Can I walk there?,Oraya yürüyerek gidebilir miyim?
How much is the taxi?,Taksi ücreti ne kadar?
"Take me to this place, please",Beni buraya götür lütfen
I want a table for two,İki kişilik bir masa istiyorum
Do you have a menu in English?,İngilizce menünüz var mı?
What do you recommend?,Ne tavsiye edersiniz?
I’m allergic to...,... alerjim var.
Is this spicy?,Bu baharatlı mı?
It’s delicious,Çok lezzetli
"The bill, please",Hesap lütfen
Can I pay by card?,Kartla ödeme yapabilir miyim?
"A beer, please",Bir bira lütfen
A coffee with milk,Sütlü bir kahve
"Still water, please",Durgun su lütfen
A glass of red wine,Bir kadeh kırmızı şarap
"No ice, please",Buz olmasın lütfen
I’d like this,Bunu isterim
How long will it take?,Ne kadar sürer?
How much does this cost?,Bunun maliyeti ne kadar?
Do you have another size?,Başka bir bedeniniz var mı?
I’m just looking,Sadece bakıyorum
Do you accept credit card?,Kredi kartı kabul ediyor musunuz?
Can I try it on?,Deneyebilir miyim?
Where are the fitting rooms?,Deneme odaları nerede?
It’s too expensive,Çok pahalı
Can you give me a discount?,Bana indirim yapabilir misiniz?
I’ll take it,Onu alacağım
Do you have this in another color?,Bunun başka rengi var mı?
Cash only,Sadece nakit
Do you have a receipt?,Fişiniz var mı?
I’m looking for a gift,Bir hediye arıyorum
What do you recommend?,Ne tavsiye edersiniz?
Is it on sale?,Satılık mı?
Help!,Yardım!
Call an ambulance,Ambulans çağırın
Call the police,Polis çağırın
I’ve lost my passport,Pasaportumu kaybettim
I’ve been robbed,Soyuldum
I need a doctor,Bir doktora ihtiyacım var
I’m injured,Yaralıyım
Where is the hospital?,Hastane nerede?
It’s an emergency,Bu acil bir durum
"I’m okay, thank you","İyiyim, teşekkür ederim."
Where is the embassy?,Büyükelçilik nerede?
I feel sick,kötü hissediyorum
I have a fever,Ateşim var
I’m dizzy,başım dönüyor
I have a headache,Başım ağrıyor
Do you want to go out with me?,Benimle dışarı çıkmak ister misin?
I like you,Senden hoşlanıyorum
You are very nice,Sen çok iyisin
Do you have a partner?,Eşiniz var mı?
I’m single,Bekarım
Do you want to dance?,Dans etmek ister misin?
It was nice meeting you,Seninle tanıştığıma memnun oldum
Can I give you my number?,Sana numaramı verebilir miyim?
Can I have your number?,Numaranızı alabilir miyim?
I miss you,Seni özledim
I love you,Seni seviyorum
Let’s go get a drink,Hadi bir içki içmeye gidelim
Where shall we meet?,Nerede buluşalım?
Call me,Ara beni
Text me,Bana mesaj at
Where is the hotel?,Otel nerede?
How do I get to the beach?,Plaja nasıl gidebilirim?
Turn right,Sağa dönün
Turn left,Sola çevirin
Go straight,Düz gidin
Is it nearby?,Yakınında mı?
